item_id,cart_id,product_id,added_at,removed_at
182,72,17,2025-01-12 03:05:39,
183,73,50,2025-03-11 19:47:00,
184,73,33,2025-03-11 20:15:00,
185,74,20,2024-10-02 22:14:06,2024-10-02 22:47:06
186,75,22,2024-08-19 11:27:50,2024-08-19 11:29:50
187,76,37,2025-01-24 06:49:43,2025-01-24 06:58:43
188,77,37,2024-04-29 03:00:58,2024-04-29 03:20:58
189,77,23,2024-04-29 04:24:58,2024-04-29 05:21:58
190,78,22,2024-09-02 14:06:55,2024-09-02 14:46:55
191,79,43,2025-04-07 07:25:21,
192,79,12,2025-04-07 08:24:21,2025-04-07 09:07:21
193,79,49,2025-04-07 07:46:21,
194,80,6,2024-08-18 10:01:04,
195,80,32,2024-08-18 10:03:04,
196,81,14,2024-10-19 13:26:35,
197,81,41,2024-10-19 13:27:35,2024-10-19 13:45:35
198,81,5,2024-10-19 13:32:35,2024-10-19 14:02:35
199,81,21,2024-10-19 12:35:35,
200,82,11,2024-07-15 15:20:04,2024-07-15 16:06:04
201,82,22,2024-07-15 16:03:04,2024-07-15 16:35:04
202,83,47,2024-05-13 12:05:48,2024-05-13 12:11:48
203,83,43,2024-05-13 12:05:48,2024-05-13 12:23:48
204,83,23,2024-05-13 12:49:48,2024-05-13 12:57:48
205,83,25,2024-05-13 12:06:48,
206,84,13,2024-05-25 22:54:27,
207,85,36,2024-09-21 08:12:42,
208,85,16,2024-09-21 08:02:42,
209,86,25,2024-11-27 12:32:25,2024-11-27 12:58:25
210,87,46,2024-10-31 17:07:51,2024-10-31 18:06:51
211,87,8,2024-10-31 17:08:51,2024-10-31 18:02:51
212,88,19,2024-10-21 19:44:30,2024-10-21 19:58:30
213,89,12,2024-05-26 04:45:12,
214,89,45,2024-05-26 04:12:12,
215,89,41,2024-05-26 04:00:12,
216,89,17,2024-05-26 05:32:12,2024-05-26 06:31:12
217,90,14,2024-04-30 03:11:04,
218,91,43,2024-08-24 10:56:34,2024-08-24 11:18:34
219,91,34,2024-08-24 10:04:34,
220,91,30,2024-08-24 10:53:34,2024-08-24 11:02:34
221,91,23,2024-08-24 09:32:34,
222,92,9,2025-03-25 16:28:39,
223,93,49,2024-06-20 01:38:08,2024-06-20 01:59:08
224,93,9,2024-06-20 01:35:08,2024-06-20 02:15:08
225,93,36,2024-06-20 01:50:08,
226,94,33,2024-07-22 18:36:43,
227,94,50,2024-07-22 17:49:43,2024-07-22 18:29:43
228,94,44,2024-07-22 18:31:43,2024-07-22 18:49:43
229,94,13,2024-07-22 18:16:43,2024-07-22 18:36:43
230,95,4,2024-10-08 20:59:44,
231,96,15,2025-03-15 07:21:08,
232,96,10,2025-03-15 07:45:08,2025-03-15 08:33:08
233,96,31,2025-03-15 08:22:08,2025-03-15 08:23:08
234,97,9,2025-03-27 07:29:52,2025-03-27 07:33:52
235,98,50,2024-04-15 20:29:29,2024-04-15 21:18:29
236,98,15,2024-04-15 21:54:29,2024-04-15 22:52:29
237,99,27,2024-12-08 00:39:43,
238,99,47,2024-12-08 00:18:43,2024-12-08 00:55:43
239,99,1,2024-12-08 02:06:43,
240,100,10,2024-07-10 16:41:12,2024-07-10 16:46:12
241,100,38,2024-07-10 16:23:12,2024-07-10 17:23:12
242,100,21,2024-07-10 16:38:12,
243,100,19,2024-07-10 16:41:12,
244,101,32,2024-12-10 10:39:39,
245,101,34,2024-12-10 11:48:39,
246,101,29,2024-12-10 11:38:39,
247,101,26,2024-12-10 11:22:39,
248,102,14,2025-01-11 18:19:48,
249,103,28,2025-03-05 10:56:56,2025-03-05 11:55:56
250,103,12,2025-03-05 10:23:56,2025-03-05 10:34:56
251,103,40,2025-03-05 11:20:56,2025-03-05 11:25:56
252,103,18,2025-03-05 10:26:56,2025-03-05 11:04:56
253,104,8,2024-12-21 00:37:18,2024-12-21 01:05:18
254,104,12,2024-12-20 23:50:18,2024-12-21 00:24:18
255,104,3,2024-12-21 01:05:18,2024-12-21 01:56:18
256,104,48,2024-12-21 01:08:18,2024-12-21 02:05:18
257,105,37,2025-02-18 19:48:02,
258,105,24,2025-02-18 19:34:02,2025-02-18 19:59:02
259,106,37,2025-01-26 23:23:38,2025-01-27 00:02:38
260,106,15,2025-01-26 23:06:38,
261,106,39,2025-01-26 22:05:38,2025-01-26 22:14:38
262,107,46,2024-06-13 01:59:49,2024-06-13 02:59:49
263,107,45,2024-06-13 02:17:49,
264,108,29,2024-05-01 09:25:54,
265,108,35,2024-05-01 08:07:54,2024-05-01 08:33:54
266,109,22,2025-01-10 05:48:15,2025-01-10 06:40:15
267,109,22,2025-01-10 06:51:15,
268,110,5,2024-10-24 12:01:36,
269,110,20,2024-10-24 11:31:36,
270,110,46,2024-10-24 11:07:36,
271,111,36,2025-04-14 20:33:51,
272,112,10,2024-06-14 15:53:20,
273,112,44,2024-06-14 15:54:20,
274,113,18,2024-09-03 03:05:54,
275,113,2,2024-09-03 02:57:54,2024-09-03 03:49:54
276,113,30,2024-09-03 03:49:54,2024-09-03 03:58:54
277,113,20,2024-09-03 02:48:54,
278,114,29,2024-07-29 11:34:23,
279,114,10,2024-07-29 12:27:23,2024-07-29 12:47:23
280,114,12,2024-07-29 12:47:23,2024-07-29 12:53:23
281,114,27,2024-07-29 13:24:23,
282,115,27,2025-03-02 09:07:52,
283,115,9,2025-03-02 08:50:52,
284,116,6,2024-10-09 01:24:32,2024-10-09 01:37:32
285,117,2,2025-03-15 03:26:51,
286,117,22,2025-03-15 02:18:51,
287,118,34,2024-12-29 17:34:21,2024-12-29 17:54:21
288,118,29,2024-12-29 16:54:21,2024-12-29 17:51:21
289,118,49,2024-12-29 17:33:21,
290,118,1,2024-12-29 17:05:21,
291,119,37,2025-04-15 04:57:35,
292,119,11,2025-04-15 04:35:35,
293,120,48,2024-11-20 11:15:01,2024-11-20 11:35:01
294,120,17,2024-11-20 11:57:01,2024-11-20 12:53:01
295,120,26,2024-11-20 10:30:01,2024-11-20 11:23:01
